City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,23.64,97,27,2.68,EC,1695091322
1,bengkulu,-3.8004,102.2655,26.73,76,91,4.72,ID,1695091322
2,tsiombe,-25.3,45.4833,19.51,97,42,2.31,MG,1695091322
3,punta arenas,-53.15,-70.9167,1.06,64,0,4.12,CL,1695091323
4,dudinka,69.4058,86.1778,2.57,87,100,5.7,RU,1695091323
5,kailua-kona,19.6406,-155.9956,28.98,84,100,5.66,US,1695091323
6,lautoka,-17.6167,177.4667,28.92,70,40,5.66,FJ,1695091324
7,waitangi,-43.9535,-176.5597,13.23,77,1,3.13,NZ,1695091324
8,avarua,-21.2078,-159.775,22.03,64,75,3.09,CK,1695091324
9,puerto leguizamo,-0.1934,-74.7819,21.91,99,93,1.03,CO,1695091324
10,howrah,22.5892,88.3103,27.0,89,75,3.09,IN,1695091325
11,blackmans bay,-43.0167,147.3167,21.4,25,41,5.39,AU,1695091325
12,port mathurin,-19.6833,63.4167,22.98,81,6,9.66,MU,1695091326
13,ribeira grande,38.5167,-28.7,22.1,76,100,4.92,PT,1695091326
14,kodiak,57.79,-152.4072,12.73,44,0,6.69,US,1695091326
15,gadzhiyevo,69.2551,33.3362,3.89,94,100,2.53,RU,1695091326
16,bethel,41.3712,-73.414,16.17,88,47,0.89,US,1695091147
17,iqaluit,63.7506,-68.5145,0.85,74,100,3.6,CA,1695091327
18,port-aux-francais,-49.35,70.2167,3.28,92,96,14.61,TF,1695091327
19,birjand,32.8663,59.2211,16.26,18,0,5.14,IR,1695091328
20,edinburgh of the seven seas,-37.0676,-12.3116,12.88,82,96,10.02,SH,1695091328
21,margaret river,-33.95,115.0667,15.19,73,99,5.37,AU,1695091328
22,nova sintra,14.8667,-24.7167,22.71,77,86,4.22,CV,1695091329
23,nelson bay,-32.7167,152.15,32.03,57,0,5.36,AU,1695091329
24,hotan,37.0997,79.9269,23.44,22,100,3.07,CN,1695091329
25,milagros,12.2181,123.5095,30.94,64,84,2.47,PH,1695091329
26,ust-tsilma,65.441,52.1498,6.43,83,100,4.96,RU,1695091330
27,fukuecho,32.6881,128.8419,27.2,83,75,2.57,JP,1695091330
28,faya-largeau,17.9257,19.1043,28.64,14,78,6.71,TD,1695091330
29,coquimbo,-29.9533,-71.3436,12.85,82,0,1.54,CL,1695091331
30,vilyuchinsk,52.9306,158.4028,16.15,62,99,2.99,RU,1695091331
31,shingu,33.7333,135.9833,30.72,61,14,3.57,JP,1695091331
32,hithadhoo,-0.6,73.0833,27.77,77,100,6.22,MV,1695091332
33,wailua homesteads,22.0669,-159.378,27.44,74,75,5.14,US,1695091332
34,yuzhno-kurilsk,44.0306,145.8556,18.97,89,99,2.38,RU,1695091332
35,wankyi,7.7392,-2.1046,21.78,99,100,1.79,GH,1695091333
36,anadyr,64.75,177.4833,6.28,81,20,4.0,RU,1695091333
37,minas de marcona,-15.2119,-75.1103,14.26,85,25,4.17,PE,1695091333
38,labrador city,52.9463,-66.9114,9.95,93,100,1.54,CA,1695091333
39,boende,-0.2167,20.8667,21.62,96,100,1.09,CD,1695091334
40,moose jaw,50.4001,-105.5344,18.14,29,97,1.54,CA,1695091334
41,polyarnyy,69.1989,33.4478,4.41,94,100,2.09,RU,1695091335
42,sabang,5.8933,95.3214,28.36,73,100,3.83,ID,1695091335
43,flying fish cove,-10.4217,105.6791,25.82,78,100,6.69,CX,1695091335
44,ain sefra,32.75,-0.5833,24.81,24,53,1.91,DZ,1695091336
45,nar'yan-mar,67.6713,53.087,5.49,84,100,8.82,RU,1695091336
46,bamboo flat,11.7,92.7167,28.05,83,40,2.57,IN,1695091336
47,yellowknife,62.456,-114.3525,13.09,94,100,3.09,CA,1695091337
48,wurtulla,-26.7568,153.1256,23.92,61,54,1.34,AU,1695091337
49,san julian,21.0167,-102.1667,18.52,57,96,1.61,MX,1695091337
50,grytviken,-54.2811,-36.5092,-5.15,79,55,6.15,GS,1695091337
51,sai buri,6.7013,101.6168,29.84,70,82,1.27,TH,1695091338
52,udachny,66.4167,112.4,1.92,64,100,8.09,RU,1695091338
53,port lincoln,-34.7333,135.8667,19.09,49,0,10.6,AU,1695091339
54,boguchany,58.3814,97.4531,16.64,61,47,3.4,RU,1695091339
55,ushuaia,-54.8,-68.3,0.81,64,20,4.12,AR,1695091281
56,adamstown,-25.066,-130.1015,18.6,62,76,1.6,PN,1695091339
57,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,39,0,6.0,RU,1695091340
58,aykhal,66.0,111.5,1.55,87,100,8.78,RU,1695091340
59,constantia,44.1833,28.65,14.38,72,0,2.58,RO,1695091340
60,tadine,-21.55,167.8833,21.93,89,78,8.61,NC,1695091341
61,qaqortoq,60.7167,-46.0333,3.62,61,95,1.16,GL,1695091341
62,taormina,37.8536,15.2885,26.33,42,100,1.69,IT,1695091341
63,kansk,56.2017,95.7175,16.26,55,100,1.76,RU,1695091342
64,fruitland,38.3221,-75.6202,18.01,96,0,1.54,US,1695091329
65,antsiranana,-12.2787,49.2917,22.53,74,13,6.69,MG,1695091342
66,alice springs,-23.7,133.8833,31.75,9,91,7.72,AU,1695091239
67,puerto natales,-51.7236,-72.4875,-1.38,88,14,1.1,CL,1695091343
68,las khorey,11.1595,48.1967,31.65,58,88,1.56,SO,1695091343
69,saipan,15.1355,145.701,32.39,70,40,7.72,MP,1695091343
70,rongelap,11.1635,166.8941,28.07,79,58,5.28,MH,1695091344
71,sittwe,20.15,92.9,27.07,88,100,8.88,MM,1695091344
